pollster,date,sample,approve,disapprove,spread
Rasmussen Reports,8/12 - 8/14,1500 LV,49,49,
CNN,8/9 - 8/12,921 RV,44,53,+9.0
Gallup,8/6 - 8/12,1500 A,39,56,+17.0
Economist/YouGov,8/5 - 8/7,1289 RV,44,51,+7.0
Reuters/Ipsos,8/3 - 8/7,1479 RV,45,52,+7.0
Rasmussen Reports,8/5 - 8/7,1500 LV,47,51,+4.0
Gallup,7/30 - 8/5,1500 A,41,54,+13.0
Economist/YouGov,7/29 - 7/31,1222 RV,43,53,+10.0
IBD/TIPP,7/26 - 8/2,900 A,41,50,+9.0
Rasmussen Reports,7/29 - 7/31,1500 LV,48,50,+2.0
Reuters/Ipsos,7/27 - 7/31,1571 RV,44,54,+10.0
Gallup,7/23 - 7/29,1500 A,40,55,+15.0
Harvard-Harris,7/24 - 7/25,1323 RV,45,55,+10.0
Economist/YouGov,7/22 - 7/24,1203 RV,43,54,+11.0
Rasmussen Reports,7/22 - 7/24,1500 LV,46,52,+6.0
Reuters/Ipsos,7/20 - 7/24,1165 RV,44,53,+9.0
NPR/PBS/Marist,7/19 - 7/22,923 RV,41,51,+10.0
Quinnipiac,7/18 - 7/23,1177 RV,38,58,+20.0
Gallup,7/16 - 7/22,1500 A,42,54,+12.0
NBC News/Wall St. Jrnl,7/15 - 7/18,900 RV,45,52,+7.0
Economist/YouGov,7/15 - 7/17,1272 RV,44,52,+8.0
Rasmussen Reports,7/15 - 7/17,1500 LV,44,54,+10.0
Reuters/Ipsos,7/13 - 7/17,2357 RV,42,54,+12.0
Gallup,7/9 - 7/15,1500 A,43,52,+9.0
FOX News,7/9 - 7/11,1007 RV,46,51,+5.0
Economist/YouGov,7/8 - 7/10,1246 RV,43,52,+9.0
Rasmussen Reports,7/8 - 7/10,1500 LV,47,51,+4.0
Reuters/Ipsos,7/6 - 7/10,1295 RV,41,57,+16.0
Emerson,7/6 - 7/7,900 RV,43,50,+7.0
Gallup,7/1 - 7/8,1500 A,41,56,+15.0
Economist/YouGov,7/1 - 7/3,1263 RV,45,51,+6.0
Reuters/Ipsos,6/28 - 7/2,2252 RV,43,54,+11.0
Quinnipiac,6/27 - 7/1,1020 RV,40,55,+15.0
Gallup,6/25 - 7/1,1500 A,42,53,+11.0
Economist/YouGov,6/24 - 6/26,1278 RV,43,52,+9.0
Harvard-Harris,6/24 - 6/25,1448 RV,47,53,+6.0
IBD/TIPP,6/21 - 6/29,900 A,41,54,+13.0
Reuters/Ipsos,6/22 - 6/26,1199 RV,45,51,+6.0
Rasmussen Reports,6/24 - 6/26,1500 LV,45,54,+9.0
Gallup,6/18 - 6/24,1500 A,41,55,+14.0
Economist/YouGov,6/17 - 6/19,1272 RV,44,50,+6.0
CNBC,6/16 - 6/19,800 A,41,47,+6.0
Rasmussen Reports,6/17 - 6/19,1500 LV,48,50,+2.0
Reuters/Ipsos,6/15 - 6/19,1604 RV,44,53,+9.0
CBS News,6/14 - 6/17,1100 A,42,52,+10.0
USA Today/Suffolk,6/13 - 6/18,1000 RV,43,51,+8.0
Quinnipiac,6/14 - 6/17,905 RV,43,52,+9.0
CNN,6/14 - 6/17,901 RV,41,54,+13.0
Gallup,6/11 - 6/17,1500 A,45,50,+5.0
Monmouth,6/12 - 6/13,711 RV,45,46,+1.0
Economist/YouGov,6/10 - 6/12,1308 RV,45,51,+6.0
Reuters/Ipsos,6/8 - 6/12,2018 RV,43,54,+11.0
Rasmussen Reports,6/10 - 6/12,1500 LV,49,49,
PPP (D),6/8 - 6/10,679 RV,39,54,+15.0
Pew Research,6/5 - 6/12,1608 RV,42,53,+11.0
Gallup,6/4 - 6/10,1500 A,42,54,+12.0
FOX News,6/3 - 6/6,1001 RV,45,51,+6.0
Economist/YouGov,6/3 - 6/5,1292 RV,42,54,+12.0
Reuters/Ipsos,6/1 - 6/5,1265 RV,40,57,+17.0
NBC News/Wall St. Jrnl,6/1 - 6/4,900 RV,44,53,+9.0
Rasmussen Reports,6/3 - 6/5,1500 LV,49,49,
Quinnipiac,5/31 - 6/5,1223 RV,40,51,+11.0
IBD/TIPP,5/29 - 6/5,905 A,36,55,+19.0
Gallup,5/28 - 6/3,1500 A,41,55,+14.0
Economist/YouGov,5/27 - 5/29,1279 RV,45,51,+6.0
Reuters/Ipsos,5/25 - 5/29,1931 RV,44,53,+9.0
Rasmussen Reports,5/27 - 5/29,1500 LV,47,52,+5.0
Gallup,5/21 - 5/27,1500 A,40,55,+15.0
Harvard-Harris,5/21 - 5/22,1347 RV,45,55,+10.0
Rasmussen Reports,5/20 - 5/22,1500 LV,48,51,+3.0
Economist/YouGov,5/20 - 5/22,1263 RV,41,54,+13.0
Reuters/Ipsos,5/18 - 5/22,1080 RV,47,51,+4.0
Gallup,5/14 - 5/20,1500 A,42,54,+12.0
Economist/YouGov,5/13 - 5/15,1231 RV,44,52,+8.0
Rasmussen Reports,5/13 - 5/15,1500 LV,48,50,+2.0
Reuters/Ipsos,5/11 - 5/15,1290 RV,46,53,+7.0
Gallup,5/7 - 5/13,1500 A,43,52,+9.0
Economist/YouGov,5/6 - 5/8,1232 RV,44,52,+8.0
Rasmussen Reports,5/6 - 5/8,1500 LV,47,51,+4.0
Reuters/Ipsos,5/4 - 5/8,1171 RV,45,53,+8.0
CBS News,5/3 - 5/6,1101 A,40,55,+15.0
CNN,5/2 - 5/5,901 RV,44,51,+7.0
Gallup,4/30 - 5/6,1500 A,42,52,+10.0
IBD/TIPP,4/26 - 5/4,900 A,38,56,+18.0
Economist/YouGov,4/29 - 5/1,1273 RV,44,53,+9.0
Reuters/Ipsos,4/27 - 5/1,1337 RV,49,49,
Pew Research,4/25 - 5/1,1221 RV,42,54,+12.0
Monmouth,4/26 - 4/30,681 RV,45,48,+3.0
Rasmussen Reports,4/29 - 5/1,1500 LV,49,49,
Gallup,4/23 - 4/29,1500 A,42,53,+11.0
Harvard-Harris,4/22 - 4/24,1549 RV,44,56,+12.0
FOX News,4/22 - 4/24,1014 RV,44,53,+9.0
Economist/YouGov,4/22 - 4/24,1270 RV,43,53,+10.0
Rasmussen Reports,4/22 - 4/24,1500 LV,48,50,+2.0
Quinnipiac,4/20 - 4/24,1193 RV,39,54,+15.0
Reuters/Ipsos,4/20 - 4/24,1248 RV,41,55,+14.0
Gallup,4/16 - 4/18,1500 A,38,57,+19.0
Economist/YouGov,4/15 - 4/17,1274 RV,42,55,+13.0
Rasmussen Reports,4/15 - 4/17,1500 LV,50,49,+1.0
Reuters/Ipsos,4/13 - 4/17,1238 RV,41,56,+15.0
NPR/PBS/Marist,4/10 - 4/13,827 RV,39,54,+15.0
Gallup,4/9 - 4/15,1500 A,39,55,+16.0
ABC News/Wash Post,4/8 - 4/11,865 RV,44,54,+10.0
NBC News/Wall St. Jrnl,4/8 - 4/11,900 A,39,57,+18.0
Economist/YouGov,4/8 - 4/10,1292 RV,42,53,+11.0
Rasmussen Reports,4/8 - 4/10,1500 LV,49,50,+1.0
Reuters/Ipsos,4/6 - 4/10,1219 RV,39,58,+19.0
Quinnipiac,4/6 - 4/9,1181 RV,41,52,+11.0
Gallup,4/2 - 4/8,1500 A,41,54,+13.0
Economist/YouGov,4/1 - 4/3,1246 RV,41,55,+14.0
Rasmussen Reports,4/1 - 4/3,1500 LV,51,48,+3.0
Reuters/Ipsos,3/30 - 4/3,1519 RV,41,56,+15.0
Harvard-Harris,3/27 - 3/29,1340 RV,44,56,+12.0
Gallup,3/25 - 3/31,1500 A,39,55,+16.0
Economist/YouGov,3/25 - 3/27,1330 RV,41,54,+13.0
Reuters/Ipsos,3/23 - 3/27,1392 RV,41,55,+14.0
Rasmussen Reports,3/25 - 3/27,1500 LV,45,53,+8.0
IBD/TIPP,3/22 - 3/29,902 A,38,56,+18.0
CNN,3/22 - 3/25,913 RV,43,53,+10.0
PPP (D),3/23 - 3/25,846 RV,39,54,+15.0
Gallup,3/19 - 3/25,1500 A,39,55,+16.0
Marist,3/19 - 3/21,1015 RV,42,51,+9.0
FOX News,3/18 - 3/21,1014 RV,45,52,+7.0
Economist/YouGov,3/18 - 3/20,1284 RV,41,54,+13.0
CNBC,3/17 - 3/20,801 A,39,50,+11.0
Quinnipiac,3/16 - 3/20,1291 RV,40,53,+13.0
Reuters/Ipsos,3/16 - 3/20,1337 RV,44,52,+8.0
Rasmussen Reports,3/18 - 3/20,1500 LV,47,52,+5.0
Gallup,3/12 - 3/18,1500 A,40,56,+16.0
NBC News/Wall St. Jrnl,3/10 - 3/14,1100 A,43,53,+10.0
Economist/YouGov,3/10 - 3/13,1291 RV,42,54,+12.0
Pew Research,3/7 - 3/14, RV,42,53,+11.0
Rasmussen Reports,3/11 - 3/13,1500 LV,47,52,+5.0
Reuters/Ipsos,3/9 - 3/13,1411 A,39,56,+17.0
CBS News,3/8 - 3/11,1223 A,38,57,+19.0
Gallup,3/5 - 3/11,1500 A,39,56,+17.0
GWU/Battleground,3/4 - 3/8,1000 RV,42,55,+13.0
Marist,3/5 - 3/6,867 RV,44,49,+5.0
Economist/YouGov,3/4 - 3/6,1310 RV,41,54,+13.0
Quinnipiac,3/3 - 3/5,1122 RV,38,56,+18.0
Monmouth,3/2 - 3/5,708 RV,40,54,+14.0
Reuters/Ipsos,3/2 - 3/6,2927 A,40,54,+14.0
Rasmussen Reports,3/4 - 3/6,1500 LV,46,53,+7.0
Gallup,2/26 - 3/4,1500 A,39,55,+16.0
IBD/TIPP,2/22 - 3/1,901 A,37,58,+21.0
Economist/YouGov,2/25 - 2/27,1296 RV,44,53,+9.0
Reuters/Ipsos,2/23 - 2/27,1651 A,40,56,+16.0
Rasmussen Reports,2/25 - 2/27,1500 LV,49,50,+1.0
Gallup,2/19 - 2/25,1500 A,39,56,+17.0
USA Today/Suffolk,2/20 - 2/24,1000 RV,38,60,+22.0
CNN,2/20 - 2/23,909 RV,39,56,+17.0
Marist,2/20 - 2/21,819 RV,40,53,+13.0
Economist/YouGov,2/18 - 2/20,1308 RV,44,51,+7.0
Rasmussen Reports,2/18 - 2/20,1500 LV,48,51,+3.0
Reuters/Ipsos,2/16 - 2/20,1104 A,40,55,+15.0
Quinnipiac,2/16 - 2/19,1249 RV,37,58,+21.0
Harvard-Harris,2/16 - 2/19,1934 RV,45,55,+10.0
Gallup,2/12 - 2/18,1500 A,37,59,+22.0
Economist/YouGov,2/11 - 2/13,1280 RV,45,50,+5.0
FOX News,2/10 - 2/13,1005 RV,43,53,+10.0
Rasmussen Reports,2/11 - 2/13,1500 LV,47,52,+5.0
Reuters/Ipsos,2/9 - 2/13,1515 A,39,54,+15.0
PPP (D),2/9 - 2/11,687 RV,44,50,+6.0
Gallup,2/5 - 2/11,1500 A,40,57,+17.0
Marist,2/5 - 2/7,807 RV,39,56,+17.0
Economist/YouGov,2/4 - 2/6,1320 RV,45,53,+8.0
Reuters/Ipsos,2/2 - 2/6,3110 A,40,54,+14.0
Rasmussen Reports,2/4 - 2/6,1500 LV,48,51,+3.0
Quinnipiac,2/2 - 2/5,1333 RV,40,55,+15.0
Gallup,1/29 - 2/4,1500 A,40,57,+17.0
IBD/TIPP,1/25 - 2/2,900 A,35,58,+23.0
Monmouth,1/28 - 1/30,711 RV,44,48,+4.0
Economist/YouGov,1/28 - 1/30,1264 RV,44,53,+9.0
Rasmussen Reports,1/28 - 1/30,1500 LV,44,54,+10.0
Reuters/Ipsos,1/26 - 1/30,1856 A,41,53,+12.0
Gallup,1/21 - 1/28,1500 A,38,58,+20.0
FOX News,1/21 - 1/23,1002 RV,45,53,+8.0
Economist/YouGov,1/21 - 1/23,1301 RV,43,54,+11.0
Reuters/Ipsos,1/19 - 1/23,2981 A,37,59,+22.0
Quinnipiac,1/19 - 1/23,1245 RV,36,58,+22.0
Rasmussen Reports,1/21 - 1/23,1500 LV,44,55,+11.0
Gallup,1/15 - 1/21,1500 A,36,59,+23.0
Harvard-Harris,1/17 - 1/19,980 RV,44,56,+12.0
ABC News/Wash Post,1/15 - 1/18,846 RV,38,58,+20.0
CNN,1/14 - 1/18, RV,43,53,+10.0
Economist/YouGov,1/14 - 1/16,1311 RV,42,54,+12.0
NBC News/Wall St. Jrnl,1/13 - 1/17,900 A,39,57,+18.0
Harvard-Harris,1/13 - 1/16,1192 RV,42,58,+16.0
CBS News,1/13 - 1/16,1225 A,37,58,+21.0
Quinnipiac,1/12 - 1/16,1212 RV,38,57,+19.0
Reuters/Ipsos,1/12 - 1/16,1638 A,39,56,+17.0
Rasmussen Reports,1/14 - 1/16,1500 LV,45,54,+9.0
Pew Research,1/10 - 1/15,1215 RV,39,55,+16.0
Gallup,1/8 - 1/14,1500 A,38,57,+19.0
Emerson,1/8 - 1/11,600 RV,39,52,+13.0
NPR/PBS/Marist,1/8 - 1/10,1092 RV,40,51,+11.0
Economist/YouGov,1/8 - 1/9,1327 RV,42,54,+12.0
Quinnipiac,1/5 - 1/9,1106 RV,36,59,+23.0
Rasmussen Reports,1/7 - 1/9,1500 LV,44,55,+11.0
Reuters/Ipsos,1/5 - 1/9,1616 A,41,55,+14.0
IBD/TIPP,1/2 - 1/10,901 A,35,58,+23.0
Gallup,1/2 - 1/7,1500 A,37,58,+21.0
Economist/YouGov,12/31 - 1/2,1277 RV,43,54,+11.0
Reuters/Ipsos,12/29 - 1/2,1770 A,41,54,+13.0
Gallup,12/28 - 12/30,1500 A,40,55,+15.0
Rasmussen Reports,12/26 - 12/28,1500 LV,45,53,+8.0
Economist/YouGov,12/24 - 12/26,1004 RV,43,53,+10.0
Economist/YouGov,12/17 - 12/19,1291 RV,41,55,+14.0
Rasmussen Reports,12/17 - 12/19,1500 LV,44,54,+10.0
Reuters/Ipsos,12/15 - 12/19,2492 A,35,60,+25.0
CNN,12/14 - 12/17,898 RV,36,59,+23.0
Quinnipiac,12/13 - 12/18,1230 RV,37,59,+22.0
NBC News/Wall St. Jrnl,12/13 - 12/15,900 A,41,56,+15.0
PPP (D),12/11 - 12/12,862 RV,41,56,+15.0
CNBC,12/10 - 12/13,800 A,42,49,+7.0
Economist/YouGov,12/10 - 12/12,1338 RV,41,54,+13.0
Monmouth,12/10 - 12/12,702 RV,33,59,+26.0
Rasmussen Reports,12/10 - 12/12,1500 LV,41,57,+16.0
Reuters/Ipsos,12/8 - 12/12,1457 A,33,61,+28.0
Harvard-Harris,12/8 - 12/11,1989 RV,41,59,+18.0
Quinnipiac,12/6 - 12/11,1211 RV,37,57,+20.0
Marist,12/4 - 12/7,1079 RV,39,55,+16.0
CBS News,12/3 - 12/5,1120 A,36,57,+21.0
Economist/YouGov,12/3 - 12/5,1341 RV,43,52,+9.0
Reuters/Ipsos,12/1 - 12/5,1548 A,37,59,+22.0
Rasmussen Reports,12/3 - 12/5,1500 LV,42,56,+14.0
Quinnipiac,11/29 - 12/4,1508 RV,35,58,+23.0
Pew Research,11/29 - 12/4, RV,34,62,+28.0
IBD/TIPP,11/27 - 12/4,901 A,36,59,+23.0
Economist/YouGov,11/26 - 11/28,1319 RV,43,53,+10.0
Rasmussen Reports,11/26 - 11/28,1500 LV,41,57,+16.0
Reuters/Ipsos,11/24 - 11/28,1969 A,38,57,+19.0
Economist/YouGov,11/19 - 11/21,1344 RV,40,55,+15.0
Reuters/Ipsos,11/17 - 11/22,1489 A,36,59,+23.0
Quinnipiac,11/15 - 11/20,1415 RV,38,55,+17.0
NPR/PBS/Marist,11/13 - 11/15,802 RV,42,54,+12.0
Economist/YouGov,11/12 - 11/14,1281 RV,39,56,+17.0
Harvard-Harris,11/11 - 11/14,2350 RV,41,59,+18.0
Rasmussen Reports,11/12 - 11/14,1500 LV,45,53,+8.0
Reuters/Ipsos,11/10 - 11/14,1520 A,37,59,+22.0
Quinnipiac,11/7 - 11/13,1577 RV,35,58,+23.0
Marist,11/6 - 11/9,850 RV,39,55,+16.0
Economist/YouGov,11/5 - 11/7,1336 RV,40,55,+15.0
Rasmussen Reports,11/5 - 11/7,1500 LV,42,57,+15.0
Reuters/Ipsos,11/3 - 11/7,1572 A,35,60,+25.0
CNN,11/2 - 11/5, RV,38,57,+19.0
IBD/TIPP,10/26 - 11/3,917 A,36,58,+22.0
ABC News/Wash Post,10/29 - 11/1,884 RV,38,58,+20.0
Economist/YouGov,10/29 - 10/31,1291 RV,43,52,+9.0
Reuters/Ipsos,10/27 - 10/31,1798 A,36,60,+24.0
Rasmussen Reports,10/29 - 10/31,1500 LV,43,55,+12.0
CBS News,10/27 - 10/30,1109 A,39,55,+16.0
PPP (D),10/27 - 10/29,572 RV,38,56,+18.0
Pew Research,10/25 - 10/30,1504 A,34,59,+25.0
NBC News/Wall St. Jrnl,10/23 - 10/26,900 A,38,58,+20.0
FOX News,10/22 - 10/24,1005 RV,38,57,+19.0
Economist/YouGov,10/22 - 10/24,1312 RV,41,56,+15.0
Reuters/Ipsos,10/20 - 10/24,2352 A,35,60,+25.0
Rasmussen Reports,10/22 - 10/24,1500 LV,42,56,+14.0
Harvard-Harris,10/14 - 10/18,2159 RV,42,58,+16.0
Marist,10/15 - 10/17,928 RV,38,54,+16.0
Rasmussen Reports,10/15 - 10/17,1500 LV,43,55,+12.0
Reuters/Ipsos,10/13 - 10/17,1678 A,38,58,+20.0
Economist/YouGov,10/15 - 10/16,1326 RV,41,54,+13.0
CNN,10/12 - 10/15, RV,38,57,+19.0
Emerson,10/12 - 10/14,820 RV,44,50,+6.0
Economist/YouGov,10/7 - 10/10,1278 RV,41,53,+12.0
Reuters/Ipsos,10/6 - 10/10,1584 A,36,59,+23.0
Quinnipiac,10/5 - 10/10,1482 RV,38,56,+18.0
Rasmussen Reports,10/8 - 10/10,1500 LV,43,56,+13.0
Economist/YouGov,10/1 - 10/3,1298 RV,42,55,+13.0
IBD/TIPP,9/29 - 10/8,887 A,33,61,+28.0
Reuters/Ipsos,9/30 - 10/3,1659 A,37,58,+21.0
Rasmussen Reports,10/1 - 10/3,1500 LV,44,55,+11.0
USA Today/Suffolk,9/27 - 10/1,1000 RV,38,56,+18.0
CNN,9/26 - 9/28,1037 A,37,56,+19.0
PBS/Marist,9/25 - 9/27,886 RV,39,54,+15.0
CNBC,9/24 - 9/27,800 A,38,52,+14.0
FOX News,9/24 - 9/26,1017 RV,42,53,+11.0
Economist/YouGov,9/24 - 9/26,1254 RV,40,55,+15.0
Reuters/Ipsos,9/22 - 9/26,3429 A,38,57,+19.0
Rasmussen Reports,9/24 - 9/26,1500 LV,43,56,+13.0
PPP (D),9/22 - 9/25,865 RV,42,53,+11.0
Quinnipiac,9/21 - 9/26,1412 RV,36,57,+21.0
CBS News,9/21 - 9/24,1202 A,35,55,+20.0
ABC News/Wash Post,9/18 - 9/21, RV,42,54,+12.0
CNN,9/17 - 9/20, RV,42,53,+11.0
Economist/YouGov,9/17 - 9/19,1292 RV,43,51,+8.0
Monmouth,9/15 - 9/19,857 RV,42,48,+6.0
Reuters/Ipsos,9/15 - 9/19,1557 A,39,55,+16.0
Rasmussen Reports,9/17 - 9/19,1500 LV,42,56,+14.0
NBC News/Wall St. Jrnl,9/14 - 9/18,900 A,43,52,+9.0
Marist,9/11 - 9/13,1009 RV,41,50,+9.0
Economist/YouGov,9/10 - 9/12,1313 RV,42,54,+12.0
Rasmussen Reports,9/10 - 9/12,1500 LV,42,56,+14.0
Reuters/Ipsos,9/8 - 9/12,1669 A,35,59,+24.0
Economist/YouGov,9/3 - 9/5,1309 RV,42,54,+12.0
Rasmussen Reports,9/3 - 9/5,1500 LV,45,53,+8.0
Reuters/Ipsos,9/1 - 9/5,1672 A,40,57,+17.0
FOX News,8/27 - 8/29,1006 RV,41,55,+14.0
Economist/YouGov,8/27 - 8/29,1278 RV,40,55,+15.0
IBD/TIPP,8/23 - 8/31,905 A,38,57,+19.0
Rasmussen Reports,8/27 - 8/29,1500 LV,41,58,+17.0
Reuters/Ipsos,8/25 - 8/29,1767 A,37,58,+21.0
Economist/YouGov,8/20 - 8/22,1327 RV,40,54,+14.0
Reuters/Ipsos,8/18 - 8/22,2744 A,36,59,+23.0
Quinnipiac,8/17 - 8/22,1514 RV,35,59,+24.0
Rasmussen Reports,8/20 - 8/22,1500 LV,41,57,+16.0
PPP (D),8/18 - 8/21,887 RV,40,53,+13.0
ABC News/Wash Post,8/16 - 8/20, RV,39,58,+19.0
GWU/Battleground,8/13 - 8/17,1000 RV,42,53,+11.0
Pew Research,8/8 - 8/21,4971 A,36,63,+27.0
NPR/PBS/Marist,8/14 - 8/15,859 RV,38,51,+13.0
Economist/YouGov,8/13 - 8/15,1291 RV,42,54,+12.0
Reuters/Ipsos,8/11 - 8/15,1587 A,35,58,+23.0
Rasmussen Reports,8/13 - 8/15,1500 LV,40,58,+18.0
Quinnipiac,8/9 - 8/15,1361 RV,39,57,+18.0
Monmouth,8/10 - 8/14,706 RV,42,49,+7.0
Marist,8/8 - 8/12,883 RV,37,55,+18.0
Economist/YouGov,8/6 - 8/8,1303 RV,40,54,+14.0
Rasmussen Reports,8/6 - 8/8,1500 LV,42,56,+14.0
Reuters/Ipsos,8/4 - 8/8,1671 A,37,59,+22.0
CBS News,8/3 - 8/6,1111 A,36,58,+22.0
CNN,8/3 - 8/6, RV,40,56,+16.0
IBD/TIPP,7/28 - 8/5,904 A,32,59,+27.0
Economist/YouGov,7/31 - 8/1,1329 RV,39,55,+16.0
Rasmussen Reports,7/30 - 8/1,1500 LV,38,62,+24.0
Reuters/Ipsos,7/28 - 8/1,3130 A,37,59,+22.0
Quinnipiac,7/27 - 8/1,1125 RV,33,61,+28.0
Economist/YouGov,7/23 - 7/25,1282 RV,41,54,+13.0
Rasmussen Reports,7/23 - 7/25,1500 LV,43,57,+14.0
Reuters/Ipsos,7/21 - 7/25,1532 A,35,59,+24.0
FOX News,7/16 - 7/18,1020 RV,41,53,+12.0
Rasmussen Reports,7/16 - 7/18,1500 LV,42,58,+16.0
PPP (D),7/14 - 7/17,836 RV,41,55,+14.0
Economist/YouGov,7/15 - 7/18,1273 RV,39,56,+17.0
Reuters/Ipsos,7/14 - 7/18,1470 A,38,58,+20.0
Monmouth,7/13 - 7/16,713 RV,40,52,+12.0
ABC News/Wash Post,7/10 - 7/13, RV,39,56,+17.0
Bloomberg,7/8 - 7/12,1001 A,40,56,+16.0
Economist/YouGov,7/9 - 7/11,1284 RV,41,52,+11.0
Rasmussen Reports,7/9 - 7/11,1500 LV,45,55,+10.0
Reuters/Ipsos,7/7 - 7/11,1530 A,40,56,+16.0
Economist/YouGov,7/3 - 7/4,1323 RV,41,53,+12.0
Reuters/Ipsos,6/30 - 7/4,1600 A,38,57,+19.0
IBD/TIPP,6/23 - 6/29,900 A,37,58,+21.0
FOX News,6/25 - 6/27,1017 RV,44,50,+6.0
Economist/YouGov,6/25 - 6/27,1295 RV,42,53,+11.0
Rasmussen Reports,6/25 - 6/27,1500 LV,46,54,+8.0
USA Today/Suffolk,6/24 - 6/27,1000 RV,42,53,+11.0
Reuters/Ipsos,6/23 - 6/27,1620  A,35,58,+23.0
Quinnipiac,6/22 - 6/27,1212 RV,40,55,+15.0
NPR/PBS/Marist,6/21 - 6/25,995 RV,38,53,+15.0
Economist/YouGov,6/18 - 6/20,1277 RV,43,51,+8.0
Rasmussen Reports,6/18 - 6/20,1500 LV,45,55,+10.0
NBC News/Wall St. Jrnl,6/17 - 6/20,900 A,40,55,+15.0
Reuters/Ipsos,6/16 - 6/20,1554 A,38,59,+21.0
CBS News,6/15 - 6/18,1117 A,36,57,+21.0
Pew Research,6/8 - 6/18,2097 RV,42,54,+12.0
Gallup,6/11 - 6/13,1500 A,36,59,+23.0
Rasmussen Reports,6/11 - 6/13,1500 LV,45,55,+10.0
Economist/YouGov,6/11 - 6/13,1310 RV,42,51,+9.0
Reuters/Ipsos,6/9 - 6/13,1492 A,40,56,+16.0
CNBC,6/9 - 6/12,800 A,37,51,+14.0
PPP (D),6/9 - 6/11,811 RV,41,52,+11.0
Rasmussen Reports,6/4 - 6/6,1500 LV,45,55,+10.0
Economist/YouGov,6/4 - 6/6,1288 RV,40,56,+16.0
Reuters/Ipsos,6/2 - 6/6,2371 A,38,58,+20.0
Quinnipiac,5/31 - 6/6,1361 RV,34,57,+23.0
IBD/TIPP,5/30 - 6/6,903 A,37,55,+18.0
Rasmussen Reports,5/28 - 5/30,1500 LV,43,57,+14.0
Economist/YouGov,5/27 - 5/30,1269 RV,40,53,+13.0
Reuters/Ipsos,5/26 - 5/30,2081 A,40,55,+15.0
FOX News,5/21 - 5/23,1011 RV,40,53,+13.0
Gallup,5/21 - 5/23,1500 A,39,55,+16.0
Rasmussen Reports,5/21 - 5/23,1500 LV,48,52,+4.0
Economist/YouGov,5/20 - 5/23,1276 RV,40,53,+13.0
Reuters/Ipsos,5/19 - 5/23,2000 A,37,57,+20.0
Quinnipiac,5/17 - 5/23,1404 RV,37,55,+18.0
Monmouth,5/13 - 5/17,896 RV,39,54,+15.0
Gallup,5/14 - 5/16,1500 A,38,57,+19.0
Rasmussen Reports,5/14 - 5/16,1500 LV,44,56,+12.0
Economist/YouGov,5/13 - 5/16,1298 RV,39,54,+15.0
Reuters/Ipsos,5/12 - 5/16,1868 A,39,55,+16.0
PPP (D),5/12 - 5/14,692 RV,40,54,+14.0
NBC News/Wall St. Jrnl,5/11 - 5/13,800 A,39,54,+15.0
Gallup,5/7 - 5/9,1500 A,40,53,+13.0
Rasmussen Reports,5/7 - 5/9,1500 LV,47,53,+6.0
Economist/YouGov,5/6 - 5/9,1287 RV,43,52,+9.0
Reuters/Ipsos,5/5 - 5/9,1830 A,43,52,+9.0
Quinnipiac,5/4 - 5/9,1078 RV,36,58,+22.0
Gallup,4/30 - 5/2,1500 A,42,52,+10.0
Rasmussen Reports,4/30 - 5/2,1500 LV,49,51,+2.0
IBD/TIPP,4/28 - 5/4,904 A,39,54,+15.0
Economist/YouGov,4/29 - 5/2,1255 RV,46,47,+1.0
Reuters/Ipsos,4/28 - 5/2,2214 A,44,51,+7.0
FOX News,4/23 - 4/25,1009 RV,45,48,+3.0
Economist/YouGov,4/23 - 4/25,1295 RV,45,49,+4.0
Gallup,4/23 - 4/25,1500 A,39,56,+17.0
Rasmussen Reports,4/23 - 4/25,1500 LV,46,54,+8.0
CBS News,4/21 - 4/24,1214 A,41,53,+12.0
Reuters/Ipsos,4/21 - 4/25,2165 A,41,53,+12.0
CNN/ORC,4/22 - 4/25,1009 A,44,54,+10.0
ABC News/Wash Post,4/17 - 4/20,1004 A,42,53,+11.0
NBC News/Wall St. Jrnl,4/17 - 4/20,900 A,40,54,+14.0
PPP (D),4/17 - 4/18,648 RV,43,50,+7.0
Rasmussen Reports,4/16 - 4/18,1500 LV,48,52,+4.0
Gallup,4/15 - 4/18,1500 A,42,52,+10.0
Economist/YouGov,4/15 - 4/18,1291 RV,44,50,+6.0
Quinnipiac,4/12 - 4/18,1062 RV,40,56,+16.0
Reuters/Ipsos,4/13 - 4/17,1843 A,43,52,+9.0
Marist,4/11 - 4/12,869 RV,39,49,+10.0
Economist/YouGov,4/10 - 4/11,1330 RV,43,52,+9.0
Gallup,4/9 - 4/11,1500 A,41,52,+11.0
Rasmussen Reports,4/9 - 4/11,1500 LV,47,53,+6.0
CBS News,4/7 - 4/9,1006 A,43,49,+6.0
Pew Research,4/5 - 4/11,1243 RV,42,52,+10.0
CNBC,4/3 - 4/6,804 A,39,48,+9.0
Gallup,4/2 - 4/4,1500 A,42,52,+10.0
Rasmussen Reports,4/2 - 4/4,1500 LV,46,54,+8.0
Economist/YouGov,4/2 - 4/4,1331 RV,43,50,+7.0
Reuters/Ipsos,3/31 - 4/4,2149 A,46,50,+4.0
Quinnipiac,3/30 - 4/3,1171 RV,35,57,+22.0
PPP (D),3/27 - 3/28,677 RV,40,53,+13.0
IBD/TIPP,3/24 - 3/30,904 A,34,56,+22.0
